ID,Sample,CL,PL,Loai I,Loai II,Loai III,Loai IV,Loai V,Loai VI,Loai VII,Loai,Result
169,TVCB0406,3,2,3,3,3,1,3,3,2,2,0
170,TVCB0408,4,2,2,4,2,1,4,3,3,1,0
171,TVCB0410,3,3,2,3,2,0,3,3,2,2,0
172,TVCB0503,3,3,3,3,2,0,3,3,2,2,0
173,TVCB0505,3,3,2,3,3,0,3,3,2,2,0
174,TVCB0506,4,2,3,3,2,2,3,3,3,2,0
175,TVCB0508,3,3,2,3,2,0,3,3,2,2,1
176,TVCB0509,4,2,3,3,3,2,3,4,2,2,0
177,TVCB0603,3,3,2,3,2,1,3,3,2,2,0
178,TVCB0608,4,3,2,3,3,0,3,3,3,2,0
179,TVCB0609,3,3,3,3,2,1,3,3,2,2,0
180,TVCB0701,3,3,2,3,2,1,3,2,2,2,0
181,TVCB0703,3,3,2,3,3,0,3,3,2,2,0
182,TVCB0706,3,3,2,3,2,1,3,2,2,2,0
183,TVCB0709,3,3,2,3,2,1,3,2,3,2,0
184,TVCB0802,3,2,3,3,3,2,3,2,2,2,0
185,TVCB0804,4,3,2,3,2,1,3,3,3,2,0
186,TVCB0806,3,2,3,3,3,0,3,2,3,2,0
187,TVCB0807,3,3,3,3,2,1,3,3,2,2,0
188,TVCB0808,3,2,3,3,2,2,3,2,2,2,0
189,TVCB0809,3,3,2,3,2,2,3,2,3,2,0
190,TVCB0902,4,2,2,3,3,1,3,3,3,1,0
191,TVCB0903,3,3,2,3,2,0,3,2,2,2,0
192,TVCB0904,3,3,3,2,2,2,2,2,2,2,0
193,TVCB0905,3,3,2,3,3,0,3,2,3,1,0
194,TVCB0907,3,3,2,3,3,0,3,2,2,2,0
195,TVCB0908,3,3,2,3,2,0,3,3,2,1,0
196,TVCB0910,3,2,2,3,3,2,3,2,2,2,0
197,TVCB1001,3,2,3,3,2,2,3,2,2,2,0
198,TVCB1005,3,3,3,3,2,0,3,3,2,2,0
199,TVCB1008,4,3,3,3,2,0,3,3,3,2,0
200,TVCB1009,3,3,2,3,2,2,3,3,2,2,1
201,TVCB1010,2,3,1,2,1,0,2,2,1,1,1
202,TVCB1102,3,3,2,2,2,1,2,2,3,2,0
203,TVCB1104,3,2,3,3,3,1,3,2,2,1,0
204,TVCB1106,3,2,3,3,3,1,3,2,3,2,0
205,TVCB1108,3,3,2,2,2,0,2,2,2,1,0
206,TVCB1109,3,3,2,2,2,1,2,2,2,1,1
207,TVCC0103,4,2,3,3,2,2,3,4,3,2,0
208,TVCC0107,3,2,3,3,3,0,3,2,3,1,0
209,TVCC0202,3,2,3,3,2,2,3,3,2,2,0
210,TVCC0206,3,3,2,3,2,1,3,3,2,1,0
211,TVCC0208,3,3,3,2,2,2,2,2,3,2,0
212,TVCC0210,4,2,3,4,3,1,4,3,3,1,0
213,TVCC0308,4,3,2,3,3,0,3,3,3,1,0
214,TVCC0408,4,3,3,3,2,0,3,3,3,1,0
215,TVCC0506,3,3,2,2,2,1,2,2,2,1,0
216,TVCC0507,4,3,2,3,3,0,4,3,3,1,0
217,TVCC0510,3,3,3,3,2,1,3,2,3,2,0
218,TVCC0603,4,3,3,3,2,0,3,3,3,1,0
219,TVCC0604,4,3,3,3,2,1,3,3,3,1,0
220,TVCC0605,3,3,2,3,2,1,3,2,2,2,0
221,TVCC0608,3,3,2,3,2,0,3,2,2,1,0
222,TVCC0702,3,2,3,3,2,2,3,2,3,2,0
223,TVCC0705,3,3,2,3,2,0,3,2,3,2,0
224,TVCC0804,3,3,3,3,2,1,3,2,3,2,0
225,TVCC0805,4,2,3,3,3,1,3,3,3,2,0
226,TVCC0908,3,2,3,3,3,1,3,2,3,2,0
227,TVCC0910,3,3,3,3,2,0,3,2,3,2,0
